20 10
0 2 V
0 3 V
0 4 V
0 5 V
0 6 V
0 7 V
0 8 V
0 9 V
1 0 V
1 1 H
1 2 V
1 2 H
1 4 V
1 5 V
1 6 V
1 6 H
1 7 H
1 8 V
2 0 V
2 0 H
2 2 H
2 2 V
2 4 H
2 5 H
2 6 H
2 7 H
3 1 H
3 2 V
3 2 H
3 3 V
3 3 H
3 4 V
3 4 H
3 5 V
3 6 V
3 6 H
3 7 V
3 7 H
3 8 V
3 8 H
3 9 V
4 0 V
4 1 V
4 2 V
4 3 V
4 4 V
4 5 V
4 6 V
4 7 V
4 8 V
5 1 V
5 2 V
5 3 V
5 5 V
5 6 V
5 7 V
5 8 V
5 9 V
6 0 H
6 1 V
6 1 H
6 2 V
6 3 V
6 3 H
6 4 H
6 6 H
6 7 H
6 8 V
7 0 H
7 1 H
7 3 H
7 4 H
7 5 H
7 6 V
7 6 H
7 7 H
7 9 V
8 0 H
8 1 V
8 2 V
8 2 H
8 3 V
8 3 H
8 4 H
8 5 H
8 5 V
8 6 V
8 7 V
8 7 H
8 8 V
8 9 V
9 0 V
9 1 V
9 2 V
9 3 V
9 4 V
9 5 V
9 6 V
9 7 V
9 8 V
10 0 H
10 1 H
10 5 V
10 6 H
10 6 V
10 8 V
11 0 H
11 1 H
11 2 V
11 2 H
11 3 V
11 3 H
11 4 V
11 4 H
11 6 V
11 7 V
11 7 H
11 8 H
12 0 H
12 1 V
12 1 H
12 2 V
12 3 V
12 3 H
12 5 V
12 5 H
12 6 V
12 6 H
12 7 H
12 8 H
13 0 H
13 1 V
13 1 H
13 3 V
13 4 V
13 4 H
13 6 V
13 6 H
13 7 H
13 8 H
14 1 V
14 2 V
14 2 H
14 3 V
14 4 V
14 5 V
14 6 V
14 7 V
14 8 V
14 8 H
14 9 V
15 1 V
15 2 V
15 3 V
15 6 V
15 7 V
15 8 V
16 0 H
16 1 V
16 1 H
16 2 V
16 3 V
16 3 H
16 5 H
16 6 H
16 7 H
16 8 H
17 0 H
17 1 H
17 3 V
17 3 H
17 4 V
17 5 V
17 5 H
17 6 V
17 7 V
17 7 H
17 8 H
18 0 H
18 1 V
18 1 H
18 2 H
18 4 V
18 4 H
18 5 H
18 7 V
18 7 H
18 8 V
18 8 H
19 0 H
19 2 H
19 4 H
19 8 H
