100 100
0 0 V
0 1 V
0 2 H
0 4 V
0 5 V
0 6 H
0 7 V
0 8 V
0 10 V
0 11 H
0 14 V
0 15 H
0 17 H
0 19 V
0 20 V
0 21 V
0 23 H
0 25 H
0 27 V
0 28 V
0 29 V
0 30 V
0 31 H
0 33 V
0 34 V
0 35 V
0 36 V
0 36 H
0 39 V
0 40 V
0 41 V
0 42 H
0 43 V
0 44 V
0 45 V
0 47 H
0 49 V
0 50 V
0 51 V
0 52 V
0 53 V
0 53 H
0 56 V
0 57 H
0 59 V
0 60 V
0 60 H
0 62 V
0 63 V
0 64 H
0 66 V
0 67 V
0 68 V
0 69 V
0 70 V
0 72 V
0 73 V
0 74 V
0 75 H
0 77 V
0 78 V
0 79 H
0 80 V
0 81 V
0 82 V
0 83 V
0 84 V
0 86 V
0 87 V
0 88 V
0 89 V
0 90 V
0 91 V
0 91 H
0 94 H
0 95 V
0 97 V
0 98 V
1 0 V
1 1 H
1 2 H
1 3 H
1 5 H
1 6 H
1 8 V
1 9 V
1 9 H
1 11 V
1 11 H
1 12 V
1 12 H
1 13 V
1 14 H
1 16 V
1 16 H
1 17 V
1 17 H
1 18 V
1 19 H
1 20 V
1 21 H
1 22 H
1 23 V
1 24 V
1 24 H
1 25 V
1 26 V
1 26 H
1 28 V
1 28 H
1 30 H
1 31 H
1 32 V
1 33 V
1 34 V
1 35 V
1 36 V
1 37 V
1 37 H
1 39 H
1 40 V
1 41 H
1 42 V
1 43 V
1 44 V
1 45 H
1 46 H
1 47 H
1 49 V
1 50 V
1 52 V
1 53 V
1 54 V
1 54 H
1 55 H
1 56 H
1 57 H
1 58 V
1 59 V
1 61 V
1 61 H
1 63 H
1 64 V
1 65 V
1 65 H
1 67 V
1 68 V
1 70 V
1 70 H
1 71 H
1 72 V
1 73 V
1 74 H
1 75 V
1 76 V
1 76 H
1 78 H
1 79 V
1 80 V
1 81 H
1 84 V
1 85 V
1 85 H
1 87 V
1 88 V
1 89 V
1 90 V
1 91 V
1 92 V
1 92 H
1 93 H
1 94 V
1 95 H
1 96 H
1 98 H
1 99 V
2 1 V
2 1 H
2 2 H
2 3 H
2 4 H
2 5 H
2 6 V
2 7 V
2 7 H
2 9 V
2 9 H
2 10 V
2 11 H
2 13 V
2 14 V
2 14 H
2 15 H
2 17 V
2 18 H
2 19 H
2 21 V
2 21 H
2 22 V
2 23 H
2 25 H
2 27 V
2 28 V
2 29 V
2 29 H
2 30 H
2 31 V
2 32 V
2 33 H
2 35 V
2 36 V
2 37 H
2 38 V
2 38 H
2 39 V
2 40 H
2 41 V
2 43 V
2 44 V
2 44 H
2 45 V
2 46 V
2 46 H
2 47 H
2 48 V
2 48 H
2 50 H
2 51 V
2 51 H
2 53 V
2 54 V
2 55 V
2 55 H
2 56 H
2 57 V
2 58 V
2 59 H
2 60 V
2 61 H
2 62 V
2 62 H
2 63 V
2 64 V
2 65 H
2 66 H
2 67 V
2 68 H
2 69 V
2 70 H
2 71 H
2 73 H
2 74 H
2 76 V
2 77 V
2 77 H
2 78 V
2 80 V
2 80 H
2 81 H
2 82 H
2 83 V
2 83 H
2 85 V
2 86 V
2 87 V
2 88 V
2 88 H
2 90 V
2 91 V
2 92 H
2 93 H
2 94 V
2 95 V
2 96 H
2 97 H
2 98 V
3 1 H
3 2 H
3 3 V
3 4 V
3 4 H
3 5 H
3 7 H
3 9 V
3 10 V
3 11 V
3 11 H
3 12 V
3 14 H
3 15 V
3 15 H
3 16 H
3 17 H
3 18 V
3 19 V
3 19 H
3 20 H
