20 20
0 0 V
0 2 V
0 3 V
0 4 V
0 5 V
0 6 V
0 7 V
0 8 V
0 9 V
0 10 V
0 11 V
0 12 V
0 13 V
0 14 V
0 16 V
0 17 V
0 18 V
0 19 V
1 1 V
1 2 V
1 3 V
1 4 V
1 5 V
1 6 V
1 7 V
1 8 V
1 9 V
1 10 V
1 11 V
1 12 V
1 13 V
1 14 V
1 15 V
1 16 V
1 17 V
1 17 H
1 18 H
2 0 V
2 1 V
2 2 V
2 3 V
2 4 V
2 5 V
2 6 V
2 7 V
2 8 V
2 9 V
2 10 V
2 11 V
2 12 V
2 13 V
2 14 V
2 16 V
2 17 V
2 17 H
2 18 H
3 0 V
3 1 V
3 3 V
3 4 V
3 5 V
3 6 V
3 7 V
3 8 V
3 9 V
3 10 V
3 11 V
3 12 V
3 13 V
3 14 V
3 15 V
3 15 H
3 16 H
3 17 H
3 18 H
4 0 V
4 1 V
4 3 V
4 4 V
4 5 V
4 6 V
4 7 V
4 8 V
4 9 V
4 10 V
4 11 V
4 12 V
4 13 V
4 14 V
4 15 V
4 15 H
4 16 H
4 17 H
4 18 H
5 0 V
5 1 V
5 2 V
5 3 V
5 4 V
5 5 V
5 6 V
5 7 V
5 9 V
5 10 V
5 11 V
5 12 V
5 13 V
5 13 H
5 14 H
5 15 H
5 16 H
5 18 H
6 0 V
6 1 V
6 2 V
6 3 V
6 4 V
6 5 V
6 6 V
6 8 V
6 9 V
6 10 V
6 11 V
6 12 V
6 12 H
6 13 H
6 14 H
6 15 H
6 16 H
6 17 H
6 18 H
7 1 V
7 2 V
7 3 V
7 4 V
7 5 V
7 6 V
7 7 V
7 8 V
7 9 V
7 10 V
7 11 V
7 12 V
7 12 H
7 13 H
7 14 H
7 15 H
7 16 H
7 17 H
7 18 H
8 0 V
8 1 V
8 2 V
8 4 V
8 5 V
8 6 V
8 7 V
8 8 V
8 9 V
8 10 V
8 11 H
8 12 H
8 13 H
8 14 H
8 15 H
8 16 H
8 17 H
8 18 H
9 0 V
9 1 V
9 2 V
9 3 V
9 4 V
9 5 V
9 6 V
9 8 V
9 9 V
9 10 V
9 10 H
9 11 H
9 12 H
9 13 H
9 14 H
9 15 H
9 16 H
9 17 H
9 18 H
10 0 V
10 1 V
10 2 V
10 3 V
10 4 V
10 5 V
10 6 V
10 8 V
10 9 V
10 9 H
10 10 H
10 11 H
10 12 H
10 13 H
10 14 H
10 15 H
10 16 H
10 17 H
10 18 H
11 0 V
11 1 V
11 3 V
11 4 V
11 5 V
11 6 V
11 7 V
11 8 V
11 8 H
11 9 H
11 10 H
11 14 H
11 15 H
11 16 H
11 17 H
11 18 H
12 1 V
12 2 V
12 3 V
12 4 V
12 5 V
12 6 V
12 7 V
12 7 H
12 8 H
12 9 H
12 10 H
12 11 H
12 12 H
12 13 H
12 14 H
12 15 H
12 17 H
12 18 H
13 0 V
13 1 V
13 2 V
13 3 V
13 5 V
13 5 H
13 6 H
13 7 H
13 8 H
13 9 H
13 10 H
13 11 H
13 12 H
13 13 H
13 14 H
13 15 H
13 16 H
13 17 H
13 18 H
14 1 V
14 2 V
14 3 V
14 4 V
14 5 H
14 6 H
14 8 H
14 10 H
14 11 H
14 12 H
14 13 H
14 14 H
14 15 H
14 16 H
14 17 H
14 18 H
15 0 V
15 2 V
15 3 V
15 3 H
15 4 H
15 5 H
15 7 H
15 8 H
15 9 H
15 10 H
15 11 H
15 12 H
15 13 H
15 14 H
15 15 H
15 16 H
15 17 H
15 18 H
16 0 V
16 1 V
16 3 V
16 3 H
16 4 H
16 5 H
16 6 H
16 7 H
16 8 H
16 9 H
16 10 H
16 11 H
16 12 H
16 13 H
16 14 H
16 15 H
16 16 H
16 17 H
16 18 H
17 1 V
17 3 H
17 4 H
17 5 H
17 6 H
17 7 H
17 8 H
17 9 H
17 10 H
17 11 H
17 12 H
17 13 H
17 14 H
17 15 H
17 16 H
17 17 H
18 1 V
18 1 H
18 2 H
18 3 H
18 4 H
18 6 H
18 7 H
18 9 H
18 10 H
18 11 H
18 12 H
18 13 H
18 14 H
18 15 H
18 16 H
18 17 H
18 18 H
19 1 H
19 2 H
19 4 H
19 5 H
19 6 H
19 7 H
19 8 H
19 9 H
19 10 H
19 11 H
19 12 H
19 13 H
19 16 H
19 17 H
19 18 H
